lut,dsp,error,latency,expression
1048,2,1.312717927248741e-06,93,"{y: fix(λe̲.(x < 20 ? e̲ % {a: a, x: x + 1, y: y + ((a / x) / x)} : y)) % {a: a, x: 1, y: 0.0}}"
1048,2,1.312717927248741e-06,93,"{y: fix(λe̲.(x < 20 ? e̲ % {a: a, x: x + 1, y: y + ((a / x) / x)} : y)) % {a: a, x: 1, y: 0.0}}"
2010,2,8.513823104294715e-07,62,"{y: (fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: (((a / x) / x) + ((a / (x + 1)) / (x + 1))) + y} : y)) % {a: a, x: 1, y: 0.0}) + (a / 361)}"
2073,14,8.292974484902516e-07,61,"{y: (fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: (((a / x) / x) + (a / ((x + 1) * (x + 1)))) + y} : y)) % {a: a, x: 1, y: 0.0}) + (a / 361)}"
1257,13,9.297302767663496e-07,66,"{y: (a + ((fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: ((a / (x * x)) + (a / ((x + 1) * (x + 1)))) + y} : y)) % {a: a, x: 1, y: 0.0}) * 361)) / 361}"
1215,5,1.0203383453699644e-06,73,"{y: (a + ((fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: (((a / x) / x) + ((a / (x + 1)) / (x + 1))) + y} : y)) % {a: a, x: 1, y: 0.0}) * 361)) / 361}"
1236,9,9.518150818621507e-07,73,"{y: (a + ((fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: ((a / (x * x)) + ((a / (x + 1)) / (x + 1))) + y} : y)) % {a: a, x: 1, y: 0.0}) * 361)) / 361}"
2073,14,7.828590469216579e-07,62,"{y: (fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: ((a / (x * x)) + ((a / (x + 1)) / (x + 1))) + y} : y)) % {a: a, x: 1, y: 0.0}) + (a / 361)}"
1734.2427048431314,26.0,7.607741849824379e-07,55,"{y: (fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: ((a / (x * x)) + (a / ((x + 1) * (x + 1)))) + y} : y)) % {a: a, x: 1, y: 0.0}) + (a / 361)}"
1069,6,1.2220117469041725e-06,86,"{y: fix(λe̲.(x < 20 ? e̲ % {a: a, x: x + 1, y: y + (a / (x * x))} : y)) % {a: a, x: 1, y: 0.0}}"
1236,9,9.982535402741632e-07,72,"{y: (a + ((fix(λe̲.(x < 19 ? e̲ % {a: a, x: x + 2, y: (((a / x) / x) + (a / ((x + 1) * (x + 1)))) + y} : y)) % {a: a, x: 1, y: 0.0}) * 361)) / 361}"
